Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
J2,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12_Socket,
M1,DIP-6_W7.62mm_LongPads,1,inmp441,
M2,PinHeader_1x07_P2.54mm_Vertical,1,MAX98357A,
M3,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
SW1,SW_SPST_B3U-3000P-B,1,22,
SW2,SW_SPST_B3U-3000P-B,1,24,
SW3,SW_SPST_B3U-3000P-B,1,23,
SW4,SW_SPST_B3U-3000P-B,1,26,
