Designator,Mid X,Mid Y,Rotation,Layer
J1,63.373,-100.965,180.0,bottom
J2,82.88,-114.36,0.0,top
M1,79.487,-78.344,270.0,top
M2,70.82,-94.107,0.0,top
M3,73.09,-124.54,0.0,top
SW1,84.820001,-132.11,270.0,top
SW2,88.480001,-86.56,0.0,top
SW3,71.85,-132.110001,270.0,top
SW4,88.47,-74.749999,0.0,top
